Variable,Type,Length,Format,group,subset
CAN_ABO,char,3,$ABO,e_char_with_encoding,cand_kipa
CAN_ACTIVATE_DT,num,8,MMDDYY,b_numeric_with_format,cand_kipa
CAN_AGE_AT_LISTING,num,8,AGE9A,a_continuous_numeric,cand_kipa
CAN_BMI,num,8,,a_continuous_numeric,cand_kipa
CAN_DEATH_DT,num,8,MMDDYY,b_numeric_with_format,cand_kipa
CAN_DGN,num,8,DGN,b_numeric_with_format,cand_kipa
CAN_DIAB_TY,num,8,DIABTY,b_numeric_with_format,cand_kipa
CAN_DIAL,num,8,DIALTYLI,b_numeric_with_format,cand_kipa
CAN_DRUG_TREAT_COPD,char,1,,c_flag_YNU,cand_kipa
CAN_FUNCTN_STAT,num,8,FUNCSTAT,b_numeric_with_format,cand_kipa
CAN_GENDER,char,1,,c_flag_other,cand_kipa
CAN_INIT_STAT,num,8,CANDSTAT,b_numeric_with_format,cand_kipa
CAN_LISTING_DT,num,8,MMDDYY,b_numeric_with_format,cand_kipa
CAN_MALIG,char,1,,c_flag_YNU,cand_kipa
CAN_MAX_PCT_SCLER_LT10,num,8,,a_continuous_numeric,cand_kipa
CAN_MED_COND,num,8,MEDCOND,b_numeric_with_format,cand_kipa
CAN_MIN_FINAL_CREAT,num,8,,a_continuous_numeric,cand_kipa
CAN_MIN_PEAK_CREAT,num,8,,a_continuous_numeric,cand_kipa
CAN_ON_DIAL,char,1,,c_flag_YNU,cand_kipa
CAN_PERIPH_VASC,char,1,,c_flag_YNU,cand_kipa
CAN_PREV_KI,num,8,,a_continuous_numeric,cand_kipa
CAN_RACE,num,8,RACE,b_numeric_with_format,cand_kipa
CAN_TOT_ALBUMIN,num,8,,a_continuous_numeric,cand_kipa
ORG_AR,char,3,,d_char_free_text,cand_kipa
PX_ID,num,8,,a_continuous_numeric,cand_kipa
REC_TX_DT,num,8,MMDDYY,b_numeric_with_format,cand_kipa
WL_ORG,char,4,$WLORG,e_char_with_encoding,cand_kipa
CAN_PREV_TX,num,8,,a_continuous_numeric,cand_kipa
CANHX_CPRA,num,8,,a_continuous_numeric,pra_hist
PX_ID,num,8,,a_continuous_numeric,pra_hist
CANHX_END_DT,num,8,DATE,b_numeric_with_format,stathist_kipa
CAN_LISTING_DT,num,8,MMDDYY,b_numeric_with_format,stathist_kipa
PX_ID,num,8,,a_continuous_numeric,stathist_kipa
WL_ORG,char,4,$WLORG,e_char_with_encoding,stathist_kipa
CAN_LAST_SRTR_PEAK_PRA,num,8,,a_continuous_numeric,tx_ki
CAN_TOT_ALBUMIN,num,8,,a_continuous_numeric,tx_ki
DON_ABO,char,3,$ABO,e_char_with_encoding,tx_ki
DON_AGE,num,8,,a_continuous_numeric,tx_ki
DON_ANTI_CMV,char,2,$SRLSTT,e_char_with_encoding,tx_ki
DON_ANTI_HCV,char,2,$SRLSTT,e_char_with_encoding,tx_ki
DON_CREAT,num,8,,a_continuous_numeric,tx_ki
DON_EXPAND_DON_KI,num,3,,a_continuous_numeric,tx_ki
DON_GENDER,char,1,,c_flag_other,tx_ki
DON_HIGH_CREAT,num,3,,a_continuous_numeric,tx_ki
DON_HIST_CANCER,num,8,HSTSTST,b_numeric_with_format,tx_ki
DON_HIST_DIAB,num,8,HSTDBDR,b_numeric_with_format,tx_ki
DON_RACE,num,8,RACE,b_numeric_with_format,tx_ki
PX_ID,num,8,,a_continuous_numeric,tx_ki
REC_AGE_AT_TX,num,8,AGE9A,a_continuous_numeric,tx_ki
REC_ANTIVRL_THERAPY,char,1,,c_flag_YNU,tx_ki
REC_A_MM_EQUIV_CUR,num,8,,a_continuous_numeric,tx_ki
REC_A_MM_EQUIV_TX,num,8,,a_continuous_numeric,tx_ki
REC_BMI,num,8,,a_continuous_numeric,tx_ki
REC_B_MM_EQUIV_CUR,num,8,,a_continuous_numeric,tx_ki
REC_B_MM_EQUIV_TX,num,8,,a_continuous_numeric,tx_ki
REC_CMV_IGG,char,2,STAT_D_MAP,e_char_with_encoding,tx_ki
REC_CMV_IGM,char,2,STAT_D_MAP,e_char_with_encoding,tx_ki
REC_CMV_STAT,char,2,STAT_D_MAP,e_char_with_encoding,tx_ki
REC_CREAT,num,8,,a_continuous_numeric,tx_ki
REC_DGN,num,8,DGN,b_numeric_with_format,tx_ki
REC_DISCHRG_CREAT,num,8,,a_continuous_numeric,tx_ki
REC_DR_MM_EQUIV_CUR,num,8,,a_continuous_numeric,tx_ki
REC_DR_MM_EQUIV_TX,num,8,,a_continuous_numeric,tx_ki
REC_EBV_STAT,char,2,STAT_D_MAP,e_char_with_encoding,tx_ki
REC_FAIL_DT,num,8,MMDDYY,b_numeric_with_format,tx_ki
REC_FIRST_WEEK_DIAL,char,1,,c_flag_YNU,tx_ki
REC_FUNCTN_STAT,num,8,FUNCSTAT,b_numeric_with_format,tx_ki
REC_GRAFT_STAT,char,1,,c_flag_YNU,tx_ki
REC_HBV_ANTIBODY,char,2,STAT_D_MAP,e_char_with_encoding,tx_ki
REC_HBV_SURF_ANTIGEN,char,2,STAT_D_MAP,e_char_with_encoding,tx_ki
REC_HCV_STAT,char,2,STAT_D_MAP,e_char_with_encoding,tx_ki
REC_IMMUNO_MAINT_MEDS,char,1,,c_flag_YNU,tx_ki
REC_MALIG,char,1,,c_flag_YNU,tx_ki
REC_MED_COND,num,8,MEDCOND,b_numeric_with_format,tx_ki
REC_MM_EQUIV_CUR,num,8,,a_continuous_numeric,tx_ki
REC_MM_EQUIV_TX,num,8,,a_continuous_numeric,tx_ki
REC_PRA_MOST_RECENT,num,8,,a_continuous_numeric,tx_ki
REC_TX_DT,num,8,MMDDYY,b_numeric_with_format,tx_ki
TFL_DEATH_DT,num,8,MMDDYY,b_numeric_with_format,tx_ki
REC_HOSP_90_DAYS,char,1,,c_flag_YNU,tx_ki
ORG_AR,char,3,,d_char_free_text,txf_ki
PX_ID,num,8,,a_continuous_numeric,txf_ki
REC_TX_DT,num,8,MMDDYY,b_numeric_with_format,txf_ki
TFL_CREAT,num,8,,a_continuous_numeric,txf_ki
TFL_FAIL_DT,num,8,MMDDYY,b_numeric_with_format,txf_ki
TFL_MALIG,char,1,,c_flag_YNU,txf_ki
TFL_PX_STAT,char,1,$PXSTATB,e_char_with_encoding,txf_ki
TFL_PX_STAT_DT,num,8,MMDDYY,b_numeric_with_format,txf_ki
TFL_HOSP,char,1,,c_flag_YNU,txf_ki
TFL_HOSP_NUM,num,8,,a_continuous_numeric,txf_ki
